"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume","organism_1","organism_2","organism_3","organism_26"
"SWP","1993-02-26",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-02-26",12,1440,120,12617.78485248,1051.48207104,10281.0558,0,32,97,1
"SWP","1993-02-27",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-02-27",12,1440,120,13124.42903808,1093.70241984,10281.0558,0,12,104,0
"SWP","1993-02-28",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-02-28",12,1440,120,12973.55712768,1081.12976064,10262.5536,0,12,84,0
"SWP","1993-03-01",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-03-01",12,1440,120,12685.67721216,1057.13976768,10294.62408,0,7,87,0
"SWP","1993-03-02",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-03-02",12,1440,120,12653.66790144,1054.47232512,10228.01616,0,19,77,2
"SWP","1993-03-03",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-03-03",12,1440,120,13123.20575232,1093.60047936,10258.85316,4,19,122,3
"SWP","1993-03-04",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-03-04",12,1440,120,13408.02745344,1117.33562112,10247.75184,2,8,73,0
"SWP","1993-03-05",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-03-05",12,1440,120,13483.87117056,1123.65593088,10209.51396,2,12,102,0
"SWP","1993-03-06",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-03-06",12,1440,120,13449.41528832,1120.78460736,10199.64612,1,19,113,0
"SWP","1993-03-07",0,0,0,0,0,NA,0,0,0,0
"CVP","1993-03-07",12,1440,120,13012.29451008,1084.35787584,10226.78268,0,19,83,0
"SWP","1993-03-08",2,180,27,691.1564544,103.67346816,1008.98664,0,5,47,3
"CVP","1993-03-08",12,1440,120,13581.5301504,1131.7941792,10088.63292,0,15,80,0
"SWP","1993-03-09",11,1440,250,5529.2516352,959.93952,5323.69968,3,18,33,2
"CVP","1993-03-09",12,1440,120,13103.4292992,1091.9524416,9783.96336,1,22,111,0
"SWP","1993-03-10",12,1440,330,5529.2516352,1267.1201664,5458.149,1,12,55,7
"CVP","1993-03-10",11,1320,110,12234.08088576,1019.50674048,9735.85764,1,10,141,0
"SWP","1993-03-11",12,1440,340,5529.2516352,1305.5177472,5391.54108,1,7,49,0
"CVP","1993-03-11",12,1440,120,12021.22916352,1001.76909696,10258.85316,0,12,118,0
"SWP","1993-03-12",12,1440,345,5529.2516352,1324.7165376,5264.49264,1,12,18,1
"CVP","1993-03-12",12,1440,120,12014.7049728,1001.2254144,10200.8796,1,10,229,0
"SWP","1993-03-13",11,1440,310,5529.2516352,1190.3250048,5368.10496,1,8,11,0
"CVP","1993-03-13",12,1440,120,12093.60690432,1007.80057536,10203.34656,1,3,117,0
"SWP","1993-03-14",10,1440,320,5529.2516352,1228.7225856,5374.27236,0,10,12,0
"CVP","1993-03-14",12,1440,120,11788.80486912,982.40040576,10205.81352,0,2,220,0
"SWP","1993-03-15",12,1440,360,5529.2516352,1382.3129088,5374.27236,1,5,4,1
"CVP","1993-03-15",10,1440,100,12123.57740544,824.05286016,10253.91924,0,4,157,0
"SWP","1993-03-16",12,1440,360,5529.2516352,1382.3129088,5364.40452,0,10,5,0
"CVP","1993-03-16",12,1440,120,12706.26918912,1058.85576576,10251.45228,0,4,184,0
"SWP","1993-03-17",12,1440,350,5529.2516352,1343.915328,5370.57192,0,14,4,0
"CVP","1993-03-17",12,1440,120,12361.3026048,1030.1085504,10262.5536,0,1,79,0
"SWP","1993-03-18",12,1440,360,5529.2516352,1382.3129088,5391.54108,3,7,2,0
"CVP","1993-03-18",12,1440,120,12384.13727232,1032.01143936,9557.00304,0,9,48,0
"SWP","1993-03-19",12,1440,360,5529.2516352,1382.3129088,5371.8054,1,7,3,0
"CVP","1993-03-19",12,1440,120,12879.97576704,1073.33131392,9555.76956,1,12,102,0
"SWP","1993-03-20",12,1440,360,5529.2516352,1382.3129088,5533.39128,2,7,4,0
"CVP","1993-03-20",12,1440,120,13005.36255744,1083.78021312,10019.55804,1,6,61,0
"SWP","1993-03-21",12,1440,360,5529.2516352,1382.3129088,5373.03888,0,5,2,0
"CVP","1993-03-21",12,1440,120,12784.55947776,1065.37995648,9906.07788,0,5,53,0
"SWP","1993-03-22",12,1440,360,5529.2516352,1382.3129088,5379.20628,3,2,1,0
"CVP","1993-03-22",12,1440,120,13012.49839104,1084.37486592,9892.5096,6,11,79,0
"SWP","1993-03-23",12,1440,380,6335.600832,1689.4935552,6285.81408,1,1,1,0
"CVP","1993-03-23",11,1440,110,12420.22420224,958.80118464,9883.87524,1,2,78,0
"SWP","1993-03-24",12,1440,360,8293.8774528,2073.4693632,5727.04764,1,5,2,0
"CVP","1993-03-24",12,1440,120,12738.07461888,1061.50621824,9870.30696,4,11,48,0
"SWP","1993-03-25",12,1440,360,8293.8774528,2073.4693632,8074.36008,1,2,0,0
